text,likes,author,date,compound_score,category
Anyone in jan 6/01/2026😅,9,@Epic_Toons_Word,2026-01-06T15:16:06Z,0.0,Neutral
Watching this video after celebrating 26th January 76th Republic Day.... JAI HIND 🇮🇳🇮🇳🇮🇳,15,@Aao_kabhi,2025-01-26T11:57:56Z,0.5719,Positive
Anyone here from June 2025,615,@B.VManoj,2025-06-10T04:25:12Z,0.0,Neutral
Who is watching in June 2024 😊,422,@BeingInfoTeacher,2024-06-14T18:53:41Z,0.0,Neutral
BCA Student attendance pls 😢,44,@VishnuSolanki-qv3vy,2024-04-09T10:09:51Z,0.0772,Positive
Didiji apke smjhane ka tareeka bahut saral h mai apne gaun se vedio  dekh rha hu. Mujhe bahut achha lga,6,@JeetooKashyap10,2024-12-06T15:52:24Z,0.0,Neutral
Is that only me who noticed ki types of operators ko conditional statements ke pehele place karna tha,18,@naziya-cg3zd,2025-12-14T05:09:11Z,0.0,Neutral
Anyone in October 2024 🎉❤😂😂,13,@Vaibhav.Hubb06,2024-10-04T15:03:33Z,0.0,Neutral
I am 11 years old boy and I understand this easily,15,@ajaypatil9545,2025-02-18T13:57:02Z,0.4118,Positive
"Small Mistake at 1:02:55, the - (n) and - (d) are not positive, it is negative only. You can check in VS Code",8,@Ruthvik0789,2025-08-04T15:59:55Z,-0.8412,Negative
As a beginner..... I learnt more about python.....thank you...,1,@shivarajsh8345,2025-10-03T06:24:14Z,0.0,Neutral
This is very amazing lecture. I want to one shot of PHP and MySQL. Please make a video mam.😊😊,47,@krutikabopche,2024-02-15T13:57:55Z,0.788,Positive
"At 1:34 it's marks=int(input(marks))
Ask chat gpt why🙏🙏",6,@Yash123-c9g,2025-01-15T15:38:35Z,0.0,Neutral
Thanks mam koi bhi you tube par video dal de but concept yaha se hi clear hote hai thanks for this video mam,58,@mohinipatil2303,2024-02-12T17:50:01Z,0.8481,Positive
"3:25:33
Number1=int(input(""Enter first number:""))
Number2=int(input(""Enter second number:""))
Number3=int(input(""Enter third number:""))
Number4=int(input(""Enter fourth number:""))
if(Number1>=Number2) and (Number1>=Number3) and (Number1>=Number4):
    print(Number1,"" Number1 Largest"")
elif(Number2>=Number3) and(Number2>=Number4):
    print(Number2,""Number2 Largest"")
elif(Number3>=Number4):
    print(Number3,""Number3 Largest"")
else:
    print(Number4,""Number4 Largest"")",0,@sathyam2013,2025-08-31T10:46:23Z,0.0,Neutral
"This lecture is very helpful for class xi & Xii 🎉 
Thank you didi 😊",10,@MohammadTalha_07,2024-02-12T14:56:39Z,0.6801,Positive
I have watched till 1:20:14 but vo operators wala slide nahi aaya abhi Tak …,4,@duttaswaroop1553,2025-02-07T15:22:40Z,0.0,Neutral
"TimeStamps 
00:00:00 - Introduction
00:02:03 - Variables and Data Types
02:32:16 - Strings and conditional statements
03:27:13 - Lists and Tuples
04:08:03 - Dictionary and Set
05:01:26 - Loops
06:04:25 - Functions and Recursion
07:05:27 - File Input and Output
07:55:27 - OOPS Part 1
08:51:23 - OOPS Part 2
09:59:06 - Mini Project",80,@SanjeevChoudhary-o2p,2025-03-14T13:00:57Z,0.0,Neutral
Your teaching style is amazing.I understood python so easily . Thank you ma'am !❤️🥰,1,@Nàñdú_Enukønda,2025-11-14T02:16:26Z,0.7341,Positive
"Class 10th krli 🗿🗿
Ab python sikh leta hu🗿🗿",81,@bhinav9451,2024-03-19T09:15:55Z,0.0,Neutral
Anyone here in september 2024,102,@foddybangali321,2024-09-07T18:40:05Z,0.0,Neutral
@ApnaCollegeOfficial After Python beginner Please make Python Intermediate course also & Python exercises discussion for practice,70,@aryanaggarwal2586,2024-02-17T12:46:25Z,0.3182,Positive
finally completed the full pyton from apna college too good for basics thank you shraddha kapra,0,@PraveenBM18,2025-10-07T07:15:52Z,0.6597,Positive
"Please also cover some library of python mam , its not enough please mam I am not able to understand library portion from the other sources",5,@gouravgourav4404,2024-02-14T16:17:04Z,0.0869,Positive
"in 5:24:01 in question 4 can't we use this code as we have to give the squares of the numbers from 1 to 9                                                              a = 2 
i = 1 
while i <=9 : 
    i+= 1
    print (i** a )",5,@ShauryaJoshi-re2dx,2025-03-27T16:55:51Z,0.0,Neutral
Class 12 students😅😮,4,@RiyaSingh-nx4ds,2024-04-07T11:58:17Z,0.0,Neutral
"बहुत ही दमदार और रोचक ट्यूटोरियल है जिसको पढ़ने में मजा आता है और सीखने में आसानी हो जाती है 
एक चीज़ अलग अलग तरीके से सिखाना , आपका तरीका  बहुत अच्छा लगा जो कि beginner को आसान बनाता है सीखने में 
और मन भी लगता है पढ़ने में 

क्योंकि कॉलेज में ज्यादातर तो बेसिक भी शिक्षक सही नहीं पढ़ा पाते हैं सिर्फ़ सिलेबस पर ध्यान रहता है  और कोडिंग का पार्ट तो  छूट ही जाता है 
क्योंकि वो सिर्फ ( variable, constant, ....... More)
बस इतना ही करा पाते हैं 

🙏🙏🙏🙏🙏🙏🙏🙏 बहुत बहुत ही आपका शुक्रगुजार हूं मैं और ये आपका एहसान जिंदगी भर रहेगा 🥀🥀🥀🥀😘😘😘 


~~Dharmendra Hum",0,@DharmendraHum,2025-08-20T04:31:09Z,0.0,Neutral
Bca students attendance please....🫠😆,120,@ojgauswami,2024-05-07T14:24:48Z,0.0,Neutral
"Im only 14 year old and  learn Coding , Thanks Dii",17,@G.Wanuj07,2025-04-21T05:23:23Z,0.4404,Positive
As a 13 year old student it is also very easy to understand thank you shraddha didi,27,@nibeditadandapat2914,2025-07-30T16:29:14Z,0.6901,Positive
Ye ldki na 🎉🎉🎉 beauty with brain 🧠🎉🎉🎉🎉,0,@izhanahmad4266,2025-10-07T16:56:32Z,0.5859,Positive
"Perfect Tutor 
Learned all things easily and very crystal clear of every topics....",4,@AbhimanyuTiwari-k1s,2025-09-24T17:53:53Z,0.8393,Positive
"I have learned c,cpp,and now learning java and I am in class 11",5,@Codewithcompanion,2024-02-12T15:20:11Z,0.0,Neutral
Bsc-cs students attendance please....😌,25,@alishahalwai6226,2024-05-23T03:51:10Z,0.0,Neutral
Please make video jo abhi currently job kr rhe h but advance excel sikhna chahte h,0,@smartlucky27,2025-09-06T03:03:37Z,0.6858,Positive
Class 10th after boards 😅😅,4,@AashaRajput-iv1hs,2024-03-14T12:32:11Z,0.0,Neutral
"At 1:34:46 in the grades code, you gotta add the type (int) to show that marks are in integer form. Without this, I was not getting  the desired output...errors were coming. After this i got the thing right! Thanks for this wonderful n informative vdo di!!!💌",6,@janzzcreations,2024-03-26T12:28:55Z,0.7878,Positive
"Finally aaj pura video dekh liya . 1 month lage, ja raha hun Google mein job ke liye😂😂🎉🎉",12,@shubhamjaiswal369,2024-08-16T12:37:59Z,0.0,Neutral
"Hi Shraddha, Pls make a video on multithreading in Python............",0,@Vandanagupta-n9s,2025-09-10T09:41:28Z,0.0772,Positive
Am excited! ❤,20,@suryakamalnd9888,2024-02-12T14:25:07Z,0.4003,Positive
anyone watching in October 2024 ?,16,@vaibhavs2740,2024-09-30T20:05:10Z,0.0,Neutral
Vote for AIML course,136,@CraftAuraWithJyoti,2025-07-18T16:17:54Z,0.0,Neutral
hii di i am in class 11 and i  am watching  this for school very helpful thank you,2,@Intel.-guru,2025-08-27T13:54:48Z,0.707,Positive
Anyone here in September 2024 without laptop 😂😂😂,58,@neelesh225,2024-09-03T11:38:58Z,0.0,Neutral
Am i alone here in july 2024 ?😂,552,@ankitayadav8676,2024-07-01T08:36:22Z,-0.25,Negative
Like the way you taught python concepts in so simple and understandable manner. Thank you for this great content and making learning experience great!!!! 🙂👍,0,@ajaykj97x,2025-10-19T12:28:15Z,0.901,Positive
Anyone in October 2024❤,6,@ArtisticRashi1176,2024-10-02T10:38:21Z,0.0,Neutral
Class12 th attendance,9,@KritRaj-bi6rg,2024-04-16T01:23:29Z,0.0,Neutral
anyone here in September 2024 😊🎉 bee like,4,@YesSir-h8c,2024-09-14T10:00:55Z,0.3612,Positive
"first time i completed any playlist so positively without missing anything from the playlist or skipping any part!!! i feel some topics were missing but that is also true that playlist which is for 30 hours, never gets completed!! so i am happy that i got apna college python course to atleast start and complete and gain confidence!!",0,@ritikashaw2510,2025-11-10T08:59:14Z,0.9781,Positive
"Day 1 : @1:00:00
Day 2 : @2:00:00
Day 3 : @3:27:13
Day 4 : @4:06:18
Day 5 : @5:01:24
Day 6 : @6:04:26
Day 7 : @7:05:27
Day 8 : @7:55:30
Day 9 : @8:51:24
Day 10 : @10:00:03
Day 11: Completed
Thank you!",36,@Deep.Sarker,2025-01-04T10:23:17Z,0.4199,Positive
"I have already learned java playlist, SQL and javascript from this channel, really it's very easy to learn and very helpful for my interview ✅😌",132,@Ltl_prncs,2024-02-12T14:28:43Z,0.7615,Positive
Anyone here in 2024 November,6,@blacky12i,2024-11-03T14:03:59Z,0.0,Neutral
"I didn’t just learn, I evolved.",1,@SameerSakinat-w4q,2026-01-09T22:15:18Z,0.0,Neutral
9:33 apne toh pehle se hi predict kiya tha,11,@KishanYadav-kc1dx,2025-07-28T05:01:17Z,0.0,Neutral
Anyone here in october 2025😂,136,@besthandwritingchannle4564,2025-09-09T12:07:25Z,0.0,Neutral
Who r learning this before clg✌,91,@nandhubhai1709,2024-06-02T12:37:59Z,0.0,Neutral
"3:25:19 que 2 code ans
 a = int(input("" enter first number:""))
b = int(input ("" enter secound number:""))
c = int(input(""enter third number:""))
d = int (input (""enter your fourth number""))
if (a>=b or a>=c):
    print (""first number is gratest :"",a)
elif (b>=c):
    print(""secound number is gratest:"",b)
elif (d>=a,b,c):
    print (""fourth number is gratest number"",d)
else :
    print (""number third is gratest:"",c)",0,@deepakchaurasia-n5c,2025-09-06T06:56:34Z,0.2263,Positive
This made my day🤩.. Just what I was waiting for😮😍🤘🏻,82,@purushottammitra1258,2024-02-12T14:26:44Z,0.0,Neutral
First year me jane wale attendance lagaw,21,@RushikeshKarad2244,2024-05-08T08:30:39Z,0.0,Neutral
11 th students attendance here👇👇,6,@SakshamSingh-k5d,2024-06-09T07:31:23Z,0.0,Neutral
"you are the great teacher , and i attemp your full python series , your series very helpul me . and you are great , thankyou mam",0,@song_lover_in,2025-10-07T06:08:56Z,0.8481,Positive
"@3:22:34
a=int(input(""enter value of a ""))
b=int(input(""enter value of b ""))
c=int(input(""enter value of c ""))
print(a,b,c)
if(a>=b and a>=c):
    print(""a is the largest number"")
elif(b>=a and b>=c):
    print(""b is the largest number"")
else:
    print(""c is the largest number"")",59,@akhileshchincholkar5991,2025-04-25T11:01:32Z,0.7351,Positive
"3:58:35
mov1 = input(""mov1 : "")
mov2 = input(""mov2 : "")
mov3 = input(""mov3 : "")
movies = [mov1, mov2, mov3]
print(""Movies :"",movies)
😇",22,@SiddharthOOOO,2024-05-12T18:32:44Z,0.0,Neutral
"@3:25:20
a = int( input(""first num:""))
b = int( input(""second num:""))
c = int( input(""third num:""))
d = int( input(""forth num:""))

if(a <= b and a <= c and a <= d  ):
    print(""first num win "",a)
elif(b <= c and b <= d):
    print(""sceond is win "",b)
elif(c <= d):
    print(""third is win "",c)
else:
    print(""forth is big win "",d)",146,@CODER606,2024-06-14T13:17:21Z,0.9246,Positive
Thanks mam for teaching us python in such a easy way. It is very helpful for a students who facing problems.,1,@MukeshkumarShrivastav-g8s,2025-08-28T11:20:44Z,0.7346,Positive
MCA karane ke bada kese job milegi Naya video banavo please 🙏🙏🙏,4,@dipikamistry3415,2024-04-23T10:44:00Z,0.3182,Positive
"Thank you didi  
Mere liye bahut helpful hai ye video ....eaise hi video banate rahiye....🙏🙏",22,@abhy8905,2024-02-20T14:38:41Z,0.6486,Positive
Amazing 👏,9,@DeepikaCodes,2024-02-12T14:54:42Z,0.5859,Positive
Please someone give me a timestamp where she started explaining operators and operands?,1,@NatureLover-c7b,2025-08-26T01:16:24Z,0.3182,Positive
"6:36:35 homework ans:-
  def check_num(n):
    print(n)
    if(n %2==0):
        print(8,"" is Even number"")
    else:
     print(n,""is a Odd number "")

check_num(8)

and the answer is :- 8 is a even number.✅✅👍👍",9,@Jaisriram2344,2025-09-05T15:45:08Z,-0.25,Negative
who is learning in 2025,90,@pratibhabhatt17,2025-03-07T13:04:22Z,0.0,Neutral
Anyone here January 2025😅,7,@malikuzair53-i,2025-01-13T16:08:01Z,0.0,Neutral
"I almost watch 100+ ad in this video.😂
YouTube is showing ad every 10 min.",1,@RabindraGupta-xr4wi,2025-08-30T17:16:20Z,0.0,Neutral
Any one December 2024😅,24,@lyrics_with_rashmi,2024-12-15T17:12:10Z,0.0,Neutral
Mene abhi HTML or CSS sikha hai ab python bhi shikhunga ❤❤,10,@Sanvariya_studio_WFX,2024-02-13T12:19:27Z,0.0,Neutral
Anyone 2025 ????,77,@the_cm-mm,2025-01-26T14:04:09Z,0.0,Neutral
"Didi, thanks for every video you’ve created for us we are thankful to you!  It was great coding journey & because of your great teachings I’m full of confident to learn any kind of skills in coding.☺️",0,@rajbhise5486,2025-08-17T11:50:47Z,0.9652,Positive
Anyone in January 😂,29,@arteeartee5672,2025-01-08T10:34:25Z,0.0,Neutral
"3:25:23
numb=int(input(""enter the numb1:""))
numb1=int(input(""enter the numb1:""))
numb2=int(input(""enter the numb1:""))
numb3=int(input(""enter the numb1:""))
if(numb>numb1 and numb>numb2 and numb>numb3):
    print(""numb is greatest"",numb)
elif(numb1>numb2 and numb1>numb3):
    print(""numb1 is greatest"",numb1)
elif(numb2>numb3):
    print(""numb2 is greatest"",numb2)
else:
    print(""numb3 is greatest"",numb3)",6,@couple_chat_chronicles,2024-08-19T18:40:10Z,0.0,Neutral
"Today I completed the full course, my experience was very smooth. Thank you 💚. 
keep up your good work !",38,@Robincse,2024-12-27T15:52:44Z,0.7158,Positive
Very nice. Superb way mam to learn. I am new to programming but the way mam demonstrated in  the perfect way to understand. Thank you so much,0,@CheemaArora,2025-08-31T19:01:46Z,0.9191,Positive
"Day 1 = 0:00  -1:00:01
Day 2 = 1:00:02 - 2:32:14
Day 3 = 2:32:16 - 3:27:12
Day 4 = 3:27:13 - 4:07:58",37,@lilithsawme,2024-03-06T13:45:27Z,0.0,Neutral
"Solution of home work problem of functions at 6:36:28
def check (val):
    if val%2==0:
        print(""even"")
    else:
        print(""odd"")

check(6)",71,@thecodinghimanshu,2024-05-05T17:13:17Z,-0.1027,Negative
Any person watch'ing September 2025😂😂,61,@AkhilMishra-l1o,2025-08-24T11:06:50Z,0.0,Neutral
"mam, your explanation is too acceptable to all of us..... Thank you for your great initiative to teach us this..... Now I am also able to make python code....❤🎉😊",0,@AryanilDutta,2026-01-16T03:17:44Z,0.836,Positive
Class-10 students after boards 😅😅,182,@Parthkhare677,2024-03-13T12:45:27Z,0.0,Neutral
Anyone here in Oct2024?,444,@takeepsmillingr6353,2024-10-02T13:44:04Z,0.0,Neutral
Anyone here in August 2024 🙃👀,885,@-mumma_girl___0,2024-08-01T05:22:00Z,0.0,Neutral
"Thank you, Shradha, for this amazing Python series! 🙌
Your explanations are very clear and easy to follow, even for beginners.
I especially liked how you covered file handling and functions with real examples. 
Keep up the great work! 💻🔥",0,@POPATCHAVAN-l4x,2025-10-12T15:08:41Z,0.9676,Positive
Anyone from 24 nov 25,6,@saurbhajoshi00001,2025-11-24T16:45:30Z,0.0,Neutral
Anyone here in Jan 2025,13,@surajmali3298,2025-01-17T11:17:52Z,0.0,Neutral
2025-2026 Assemble here 😂🎉,17,@stylelo.kotthastar2522,2025-07-31T12:23:12Z,0.0,Neutral
"a=int(input(""Enter the value of a :""))
b=int(input(""Enter the value of b :""))
c=int(input(""Enter the value of c: ""))
d=int(input(""Enter the value of d: ""))

if(a>=b and a>=c and a>=d):
    print(""first number is largest"", a)
elif(b>=c and b>=d):
    print(""second number is largest"", b)
elif(c>=d):
    print(""third number is largest"",c)
else:
    print(""fourth number is largest"", d)

first hw",2,@gowijayy69,2025-08-17T18:47:39Z,0.9001,Positive
I Complete This Python Course and after Completed This Course Confident to Say Its 100% Best for Absolutely Beginners and I Complete This Course in 15 days Because While I Watch I build self guided projects and practice 5 hours a day Thank You from Pakistan,4,@SyedAaliyann,2025-08-28T09:09:02Z,0.872,Positive
"6:36:00  I've seen many comments where the solution for this hw question has been posted , but non of them actually solved it correctly. Most of the ppl have just directly printed odd or even, The code should return a string. So here's what I've tried! :) 

def oddeven(num) :
       if (num%2==0) :
            return ""even"" 
       else: 
            return ""odd"" 
Number = int(input(""enter your number""))
Print(oddeven(Number)) 

It works fine on my device!",100,@Ribsky,2024-06-19T17:49:38Z,0.8217,Positive
Maam your python series is also very informative I'm doing it from there.,6,@sakshimaurya920,2024-02-12T14:26:42Z,0.0,Neutral
"I have successfully completed my Python series
Now, I am ready to move into the — Data Structures & Algorithms, followed by Machine Learning and its libraries.thank you apna college",0,@chethana15-g7h,2025-09-16T15:32:26Z,0.6908,Positive
"At 1:34:34 there's a mistake in the code #grades of students
The first line should be 
marks = int(input(""marks= ""))
If we don't write *int* it will give us the error that >= does not support between instances of 'str' and 'int'
Happy to help😊 good luck!",48,@zaibamehta3005,2024-07-25T14:12:55Z,0.5475,Positive
"Thank you Bitiyia, at 47,   I have learnt MS Excel and now from you,  I have learnt python in 15 Days and practicing.",261,@nipunchibber250,2024-10-25T19:04:33Z,0.6705,Positive
Anyone here September 🤓🫡😹,6,@youtubeking_vishal,2024-09-23T17:37:34Z,0.0,Neutral
"Clear, concise, and easy to follow. Great job explaining!",1,@IhsanHassani-v6i,2025-11-28T06:09:43Z,0.8718,Positive
Thanks for this course,5,@mohdsultan601,2024-02-12T15:19:30Z,0.4404,Positive
Am I alone here in  may 2024?,170,@HafsaArmeen-o8o,2024-05-21T18:35:20Z,-0.25,Negative
29 October 2025 anyone?,279,@shreyaprakash2012,2025-10-20T05:41:37Z,0.0,Neutral
Best one shot video of python thanks ma'am for your efforts,0,@brainbooster8816,2025-10-21T06:43:13Z,0.7964,Positive
Who is watching this in 2025 ❤,5,@Manthanhirani-m7g,2025-01-09T16:41:00Z,0.0,Neutral
"1:34:14 here it is wrong it should be 
Marks = int(input( ""marks :"" ) )",32,@hamzatak8066,2024-04-13T15:06:11Z,-0.4767,Negative
Anyone in September 2024 ?,4,@growwithmfarhan,2024-09-02T01:02:49Z,0.0,Neutral
1:18:56 yeh slide toh pehli baar dekh rha hu 😂,33,@NoDistraction-s7o,2025-06-28T14:07:33Z,0.0,Neutral
Watching in july😅,23,@itz.laxuhere,2024-07-13T13:31:40Z,0.0,Neutral
I hv applied for a company in college placements and in JD it has strong foundation in python so I'm here to complete this course in 3 days so wish me good luck guys 🤞🙂,29,@sheethalraj7983,2024-11-22T13:22:03Z,0.9178,Positive
"52:32 , 2*Txt*3 ke jage , A*Txt*B aana chahiye",1,@pritush772,2025-10-05T04:38:49Z,0.0,Neutral
"There is a mistake in expression execution at (1:02:55) , when numerator and denominator are -ve then the remainder is also -ve.",9,@PBM-fx2jg,2024-03-24T08:14:01Z,-0.34,Negative
"1:33:30
Marks = int(input(""marks : "")",4,@umamaheswar...,2024-03-23T15:27:51Z,0.0,Neutral
"6:36:35 home work question answer 

num = int(input(""enter the number : ""))
def even_odd (num):
    if (num % 2 == 0):
        print(""even"")
    else:
        print(""odd"")

even_odd(num)",16,@mamalibehera7626,2025-05-08T06:08:18Z,0.0772,Positive
Very very thanks ap sa he mane html 5 sekhey aur ap he se abhi ma python sekh  Raha ho aur bad ma aur bhi sikho ga,0,@FaizAbid-j8n,2025-11-12T15:04:14Z,-0.0074,Neutral
"19:05 print func for output
30:45 variables move from r to l
53:58 string and string can be merged with +
57:16 // is integer division operator
59:16 floor function
1:03:00 % is remainder function
1:21:09 operators priority not>and>or
1:41:40 conditional statements in a line

2:34:34 3 types of string commands why
2:52:30 string functions

3:33:10 difference between strings and lists
3:38:30 lists functions return none karega, that's why print karna hota hai at end.
3:44:35 strings mai sorting based on alphabetical

4:13:35 dict mutable
values we can put in sets 4:35:00
4:41:00 sets are mutable but the elements are not changeable that is immutable

8:11:27 why we doing self.variable",14,@Mikasa3eren,2024-12-26T05:20:34Z,0.2144,Positive
04:08:04 i'll come later,5,@swatichauhan2106,2024-08-08T07:09:39Z,0.0,Neutral
"Most awaited series 
Thank you so much for coming back with python",11,@ITS_DAY_TRADING_THING,2024-02-13T20:24:21Z,0.3336,Positive
your frequently smiles make me engaged and energetic ... thanks a lot :),0,@abhinavdev3980,2025-08-27T05:33:22Z,0.9274,Positive
"I use this type of logic
 A=input(""Enter movies name 1:="")
B=input(""Enter movies name 2:="")
C=input(""Enter movies name 3:="")
list=[A,B,C]
print(""fauret movies name is "",list)",9,@Kalpesh__nikam,2024-02-26T15:51:26Z,0.0,Neutral
She is best guider and her lectures are give lot of knowledge ❤❤❤,11,@The_MohammadAyan,2024-02-12T14:35:47Z,0.6369,Positive
Anyone in November 😅,28,@subhanmalik.12,2024-10-29T07:17:52Z,0.0,Neutral
"Hurray
Completed Today 

Thanks, Ma'am Shradha for the quality content.",0,@ibrahimkhalil855,2025-08-25T05:46:09Z,0.765,Positive
Who is here in September??,5,@friendsgamingandsports2917,2024-09-01T12:04:50Z,0.0,Neutral
I'm from Pakistan .Thanks a lot Mam❣💖.Today I have completed my full course just because of you🥰.May God bless you😇.Once again thank you so much for this wonderful series🥰,17,@ayesharani5809,2025-01-28T18:58:20Z,0.9284,Positive
Kal se hm logo ka python ka class chlne wala tha  cllg me bilkul sahi time pe  video upload hua hai  thankyou,5,@Talk_Tech789,2024-02-12T15:52:26Z,0.0,Neutral
The vibe here is just *chef's kiss* 🔥,0,@CaldiLomanar,2025-08-31T22:56:37Z,0.0,Neutral
आपका चैनल बहुत ही अच्छा लगता है आपके पढ़ने का तरीका बहुत ही सुंदर है और यह पीठों की सीरीज बहुत अच्छी है जो कंप्लीट है जैसा कि आपने वीडियो में बताया है अब मैं इसको हमेशा देखता रहूंगा इसके लिए आपको बहुत बहुत धन्यवाद,17,@umeshgiri8201,2024-02-12T15:16:23Z,0.0,Neutral
"Day 1 2:32:10
Day 1 (night) 5:01:27
Day 2 5:37:42
Day 3, Day 4 (couldnt watch it)
Day 5 7:55:20
Day 6 mrng 8:52:01
Day 6 night 10:24:50
DONEEE!! Thank you so much...I'm a beginner and I was able to understand almost everything",76,@Sanaaaaa5,2024-08-28T11:50:43Z,0.4738,Positive
"Behen Not And Or to ap ne seekhaya he nai, aur practice time 1st mey dal dia ap ne. 1:22:05",8,@rehankhan9029,2025-08-01T09:40:11Z,0.0,Neutral
I am in class 11th and my optional is CS and your videos of python literally help me in better understanding❤️❤️. Thank you so much shradha di💖💖🌸🌸,0,@brijmoscow,2025-09-23T17:12:27Z,0.7964,Positive
Amazing course. Well crafted. Loved it❤,12,@vedantg1384,2024-02-12T15:29:27Z,0.8689,Positive
"day 1, 2:41:49
day 2, 6:32:46
day 3, Finished! thanks shradha it was Very Easy to understand
now i just have to practice",8,@T2LOVEALLFAMILY,2024-08-15T11:50:07Z,0.7495,Positive
at 1:18:57 you didnt explained about this in the video and asking the questions or conducting the quiz about it how we can understand that is not explained in the video @shradha,14,@BKishan48,2024-03-13T15:16:54Z,0.0,Neutral
4:08:30 in the latest  version of python 'dictionaries' are ordered & hence can be indexed,1,@mkarpawar2836,2025-08-19T13:02:30Z,0.0,Neutral
Anyone in February 2025.,10,@Anupam940,2025-02-20T04:06:03Z,0.0,Neutral
05 October 2025 anyone??? 😅😂,121,@ytgamingstudio7270,2025-10-05T14:27:58Z,0.0,Neutral
"@6:36:28
n=int(input(""Enter Number: ""))
def num(n):
    if(n%2==0):
        print(n,""EVEN"")
    else:
        print(n,""ODD"")
num(n)",92,@nidhisaini1722,2024-05-28T06:39:47Z,0.0772,Positive
